"time","counterfact.bat.EneSoC"
2505.6,107999.9999171951
2520,107999.9999171951
2533.166881437682,107999.9999171951
2533.166881437682,107999.9999171951
2534.4,108052.0949871541
2539.805333095727,108306.9725629842
2539.805333095727,108306.9725629842
2539.805336333658,108306.9727285901
2539.805336333658,108306.9727285901
2539.805336333838,108306.9727285993
2539.805336333838,108306.9727285993
2548.8,108826.291698822
2563.2,109903.2916250451
2577.6,111281.0583898022
2592,112958.2995160078
2606.4,114933.8682673796
2620.8,117206.6417870098
2635.2,119775.5354397774
2649.6,122639.3640604023
2664,125796.9041749763
2678.4,129246.8708775612
2692.8,132987.8799525629
2707.2,137018.4436689063
2721.6,141337.0323568658
2736,145942.0094318555
2750.4,150831.629531948
2764.8,156004.0996507846
2779.2,161457.5105065659
2793.6,167189.8460395392
2808,173199.0197257679
2822.4,179482.8711606144
2836.8,186039.1405915449
2851.2,192865.4816710324
2865.6,199959.483239083
2880,207318.6303651248
2894.4,214940.3496685424
2908.8,222821.9770784782
2923.2,230960.7680758249
2937.6,239353.9059136139
2952,247998.4873932418
2966.4,256891.5360083691
2980.8,266029.9937574159
2995.2,275410.7300004205
3009.6,285030.5493012191
3024,294886.1667327999
3038.4,304974.2288383218
3052.8,315291.3415992376
3067.2,325834.0028418233
3081.6,336598.6494167339
3096,347581.6699499848
3110.4,358779.3661586095
3124.8,370187.968893236
3139.2,381803.6745387959
3153.6,393622.6228195639
3168,405640.8517131966
3182.4,417854.3574633435
3196.8,430259.1006501116
3211.2,442850.9436669649
3225.6,455625.6990485153
3240,468579.1958340171
3254.4,481707.1281062622
3268.8,495005.1563928965
3283.2,508468.8701021771
3283.92625342678,509152.210033831
3283.92625342678,509152.210033831
3297.6,522017.838184574
3312,535566.7981845741
3326.4,549115.7581845743
3340.8,562664.7181845745
3355.2,576213.6781845741
3369.6,589762.6381845742
3384,603311.5981845743
3398.4,616860.5581845746
3412.8,630409.5181845747
3427.2,643958.4781845743
3441.6,657507.4381845745
3456,671056.3981845746
3469.75661808467,684000.0001404403
3469.75661808467,684000.0001404403
3470.024947482819,684000.0001404403
3470.024947482819,684000.0001404403
3470.4,684000.0001404403
3484.8,684000.0001404403
3499.2,684000.0001404403
3513.6,684000.0001404403
3528,684000.0001404403
3542.4,684000.0001404403
3556.8,684000.0001404403
3571.2,684000.0001404403
3585.6,684000.0001404403
3600,684000.0001404403
3614.4,684000.0001404403
3628.8,684000.0001404403
3643.2,684000.0001404403
3657.6,684000.0001404403
3672,684000.0001404403
3686.4,684000.0001404403
3700.8,684000.0001404403
3715.2,684000.0001404403
3729.6,684000.0001404403
3744,684000.0001404403
3750.000000238736,684000.0001404403
3750.000000238736,684000.0001404403
3758.4,684000.0001404403
3772.8,684000.0001404403
3787.2,684000.0001404403
3801.6,684000.0001404403
3816,684000.0001404403
3830.4,684000.0001404403
3844.8,684000.0001404403
3859.2,684000.0001404403
3873.6,684000.0001404403
3888,684000.0001404403
